成交记录ID,户型,小区名称,建筑面积,成交价,挂牌价,单价,成交周期,成交日期,朝向,装修,电梯,楼层,建筑类型
101106763470,3室2厅,枫林绿洲,127.88,350,360,27370,4,2020.01.19,南北,其他,,高楼层(共10层),板楼
101106012567,3室1厅,春天花园,125.69,131,138,10383,96,2020.01.19,南,精装,,低楼层(共19层),板塔结合
101106260237,1室1厅,东尚小区1期,45.1,83,85,18404,68,2020.01.19,西,简装,,高楼层(共18层),板塔结合
101106362918,3室1厅,复地优尚国际一期,91,141,135,15440,55,2020.01.19,南北,毛坯,,低楼层(共27层),板塔结合
101106336380,2室1厅,怡心居二期,97,109,110,11238,58,2020.01.19,南,精装,,低楼层(共6层),板楼
101104380663,3室2厅,丰盛园,145,154,160,10621,297,2020.01.19,东南,简装,,中楼层(共11层),板楼
101106492073,2室2厅,易道郡玫瑰公馆一期,97.57,154,156,15784,38,2020.01.19,南,精装,,高楼层(共27层),板楼
101106103484,2室2厅,旭景新港,94.35,112,114,11871,86,2020.01.19,东北,精装,,中楼层(共33层),板塔结合
101104197745,2室2厅,东泰城市之光,85.5,175,178,20410,321,2020.01.19,西,简装,,中楼层(共33层),塔楼
101106197487,3室2厅,中建昆明澜庭,131,185,190,14123,75,2020.01.19,南北,毛坯,,高楼层(共10层),板塔结合
101106753756,2室2厅,长庆湖滨花园一区,83.29,75,78,8945,6,2020.01.19,南北,其他,,高楼层(共6层),板楼
101106118383,2室2厅,融发心园,93.58,113,115,12033,84,2020.01.19,南北,精装,,高楼层(共20层),板楼
101106242579,2室1厅,民航社区,63.3,76,77,12007,70,2020.01.19,南,简装,,低楼层(共3层),板楼
101106396379,3室2厅,保利心语花园,93,148,141,15861,51,2020.01.19,南,精装,,高楼层(共26层),板塔结合
101106123346,2室2厅,康乐路付98号院,90.33,76,77,8414,84,2020.01.19,南,简装,,高楼层(共7层),暂无数据
101106283089,1室1厅,上东大道,49.5,70,70,14142,65,2020.01.19,北,精装,,高楼层(共33层),板塔结合
101104258248,4室2厅,中铁缤纷南郡,157,285,300,18153,312,2020.01.19,南北,毛坯,,低楼层(共33层),板塔结合
101106143400,4室2厅,中建国熙台,166.77,366,388,21947,81,2020.01.19,南北,精装,,高楼层(共29层),板楼
101106384307,3室2厅,挚信樱花园,126.38,125,126,9875,52,2020.01.19,南北,简装,,中楼层(共15层),板塔结合
101106276566,2室0厅,古迹岭小区,54.02,40,42.8,7405,65,2020.01.18,南,毛坯,,高楼层(共6层),暂无数据
101105557959,2室2厅,长安易居,72.83,90,92,12358,148,2020.01.18,南,简装,,中楼层(共11层),板塔结合
101105982012,3室2厅,含光雨露花园,167.17,160,160,9572,99,2020.01.18,南,简装,,高楼层(共24层),板塔结合
101105330001,2室2厅,数码家园,101.47,112,114.5,11038,174,2020.01.18,南北,简装,,中楼层(共18层),板塔结合
101105502673,2室2厅,庆华南区,71.03,48,48.5,6758,154,2020.01.18,南,简装,,高楼层(共6层),板楼
101105426508,3室2厅,EE康城,148.54,161,163,10839,163,2020.01.18,西北,精装,,低楼层(共23层),板塔结合
101106383893,2室1厅,御笔城市广场,77,90,91,11689,52,2020.01.18,东西,简装,,中楼层(共32层),板塔结合
101106618637,2室2厅,百合佳苑,104.91,95,100,9008,25,2020.01.18,南,简装,,中楼层(共14层),塔楼
101105471035,2室2厅,富力城北区,99.09,145,148,14613,157,2020.01.18,南,精装,,高楼层(共11层),板塔结合
