成交记录ID,户型,小区名称,建筑面积,成交价,挂牌价,单价,成交周期,成交日期,朝向,装修,建筑类型,latitude,longtitude,楼层位置,楼高
101106763470,3室2厅,枫林绿洲,127.88,350,360.0,27370,4,2020.01.19,南北,其他,板楼,28.239238259446992,112.95575573919999,高楼层,10
101106012567,3室1厅,春天花园,125.69,131,138.0,10383,96,2020.01.19,南,精装,板塔结合,31.223017902023287,121.40995603184936,低楼层,19
101106260237,1室1厅,东尚小区1期,45.1,83,85.0,18404,68,2020.01.19,西,简装,板塔结合,39.7997260559677,116.71585573860982,高楼层,18
101106362918,3室1厅,复地优尚国际一期,91.0,141,135.0,15440,55,2020.01.19,南北,毛坯,板塔结合,39.90937779988987,116.38431686641454,低楼层,27
101106336380,2室1厅,怡心居二期,97.0,109,110.0,11238,58,2020.01.19,南,精装,板楼,30.549932457487955,103.77695197810883,低楼层,6
101104380663,3室2厅,丰盛园,145.0,154,160.0,10621,297,2020.01.19,东南,简装,板楼,40.195387846886156,116.20221785309542,中楼层,11
101106492073,2室2厅,易道郡玫瑰公馆一期,97.57,154,156.0,15784,38,2020.01.19,南,精装,板楼,23.085356759845354,113.52562772911187,高楼层,27
101106103484,2室2厅,旭景新港,94.35,112,114.0,11871,86,2020.01.19,东北,精装,板塔结合,31.823494217581295,121.39137808576696,中楼层,33
101104197745,2室2厅,东泰城市之光,85.5,175,178.0,20410,321,2020.01.19,西,简装,塔楼,22.748602918269093,113.82622931876641,中楼层,33
101106197487,3室2厅,中建昆明澜庭,131.0,185,190.0,14123,75,2020.01.19,南北,毛坯,板塔结合,24.96807602089035,102.70514620379942,高楼层,10
101106753756,2室2厅,长庆湖滨花园一区,83.29,75,78.0,8945,6,2020.01.19,南北,其他,板楼,22.54242796681609,113.9910336153697,高楼层,6
101106118383,2室2厅,融发心园,93.58,113,115.0,12033,84,2020.01.19,南北,精装,板楼,39.96298285395508,116.39501056469696,高楼层,20
101106242579,2室1厅,民航社区,63.3,76,77.0,12007,70,2020.01.19,南,简装,板楼,34.770641530054924,113.70460227079549,低楼层,3
101106396379,3室2厅,保利心语花园,93.0,148,141.0,15861,51,2020.01.19,南,精装,板塔结合,30.549385938193794,104.04882099663438,高楼层,26
101106123346,2室2厅,康乐路付98号院,90.33,76,77.0,8414,84,2020.01.19,南,简装,暂无数据,0.0,0.0,高楼层,7
101106283089,1室1厅,上东大道,49.5,70,70.0,14142,65,2020.01.19,北,精装,板塔结合,23.11749782270017,113.43359588049228,高楼层,33
101104258248,4室2厅,中铁缤纷南郡,157.0,285,300.0,18153,312,2020.01.19,南北,毛坯,板塔结合,22.526434279599716,113.97896982152743,低楼层,33
101106143400,4室2厅,中建国熙台,166.77,366,388.0,21947,81,2020.01.19,南北,精装,板楼,32.06594663498675,118.65362576775925,高楼层,29
101106384307,3室2厅,挚信樱花园,126.38,125,126.0,9875,52,2020.01.19,南北,简装,板塔结合,31.246669907416404,121.51317447901512,中楼层,15
101106276566,2室0厅,古迹岭小区,54.02,40,42.8,7405,65,2020.01.18,南,毛坯,暂无数据,28.73754945586332,114.85587670583197,高楼层,6
101105557959,2室2厅,长安易居,72.83,90,92.0,12358,148,2020.01.18,南,简装,板塔结合,38.04325613649811,114.54561160958328,中楼层,11
101105982012,3室2厅,含光雨露花园,167.17,160,160.0,9572,99,2020.01.18,南,简装,板塔结合,28.2394650775248,112.94894649360606,高楼层,24
101105330001,2室2厅,数码家园,101.47,112,114.5,11038,174,2020.01.18,南北,简装,板塔结合,25.033414716794947,102.72944123563094,中楼层,18
101105502673,2室2厅,庆华南区,71.03,48,48.5,6758,154,2020.01.18,南,简装,板楼,34.29980336568917,109.12171848782978,高楼层,6
101105426508,3室2厅,EE康城,148.54,161,163.0,10839,163,2020.01.18,西北,精装,板塔结合,31.109872286600872,121.3610824629513,低楼层,23
